Index,Summary
195,"Senior Geologist needed for managing geological assessment projects.  Requires BSc in Geology, several years' experience, and preferably renewable energy sector experience.  Strong IT, communication, and report-writing skills essential.  Postgraduate qualification advantageous."
196,"Engineering Geologist needed (full-time/part-time).  Requires degree in ground engineering (MSc preferred), chartership/near-chartership.  Experience in project management, ground investigations (EC7), geotechnical design, and rock mass rating systems essential."
197,"Senior Engineering Geologist needed at Coire Glas.  Responsibilities unspecified.  Benefits include generous leave, healthcare discounts, and employee assistance programs."
198,"Project Engineering Geologist needed for Coire Glas.  Responsibilities not specified.  Benefits include generous leave, healthcare discounts, and other perks."
199,"Company Geologist needed with geology degree/chartership.  Responsibilities include reserve assessments, mine planning/modeling, geotechnical appraisals, regulatory compliance, and new product development.  Strong technical, communication, and project management skills required.  UK driving license essential."
200,"Geotechnical Engineer needed with 3-5 years' experience.  Responsibilities include ground investigation, site supervision, data management (HoleBASE, AGS4), report writing, and health & safety.  Requires UK driving license and geotechnical degree."
201,"Senior Resource Geologist needed for Russia operations.  Requires 5-10 years mining experience, geological modeling expertise (Micromine, Vulcan, etc.), and NI-43-101 QP eligibility.  Responsibilities include resource estimation, exploration, due diligence, and team mentorship."
202,"Chartered Engineer (or working towards) needed.  Requires experience in geology, site surveys, geophysics, contaminated land assessment, and geotechnical design.  Project management and mentoring skills essential."
203,"Engineering Technician/Geologist needed.  2+ years' experience in site investigation/construction.  Responsibilities include logging, testing, inspections, reporting, contractor management, and client interaction.  Earth science/geology degree required."
204,"Lead geotechnical investigations (GI) on medium-to-large sites.  Manage teams, projects, budgets, and safety.  Requires UK site experience, geotechnical degree, professional membership, and driving license."
205,"Engineering Geologist needed.  Requires 3D digital ground modelling skills (ArcGIS, Leapfrog, Bentley), geotechnical experience, report writing, and coding (VBA, Python).  Bachelor's degree (2.1+) in Geology/Engineering Geology preferred; professional membership desired."
206,"Engineering Geologist needed with UK experience.  Responsibilities include site supervision, in-situ testing, logging, client liaison.  Requires degree in geotechnical discipline, CSCS, SSSTS, and UK driving license."
207,Principal Engineering Geologist position available in Basingstoke.  Salary negotiable.  Contact tjherbert@allen-york.com (Ref: BBBH28905).
208,"Geotechnical Engineer/Engineering Geologist needed in Basingstoke.  Requires strong problem-solving, communication, and UK ground conditions expertise.  Network Rail/Highways England knowledge preferred.  Travel required.  Clean driving license essential."
209,"Geotechnical Engineer/Engineering Geologist needed in Chesterfield.  Requires strong problem-solving, communication, and UK ground condition knowledge.  Experience with Network Rail/Highways England preferred.  Clean driving license and UK travel required."
210,"Geotechnical Engineer/Engineering Geologist needed in Birmingham.  Requires strong problem-solving, communication, and UK ground conditions knowledge.  Experience with Network Rail/Highways England preferred.  Clean driving license and UK travel required."
211,"Geotechnical Engineer needed with UK experience.  Responsibilities include site supervision, in-situ testing, reporting, client liaison, and health & safety.  Degree in geotechnical discipline, CSCS, SSSTS, and driving license required."
212,"Geotechnical Engineer needed. MSc or equivalent required.  Experience in analysis, design, Geostudio/Repute/Wallap. Excellent communication and report writing skills. UK driving license. Willingness to travel."
213,"Engineering Geologist needed.  Requires Bachelor's degree (Master's/PhD preferred) in Geology or related field.  Experience with GIS, coding, and digital design beneficial. Strong communication and teamwork skills essential.  Sustainable development knowledge a plus."
214,"Office-based Production Geologist needed with Russian/English fluency and Petrel experience.  Responsibilities include reservoir modeling, well planning, geological uncertainty quantification, and real-time drilling monitoring in Russia."
215,"Senior Geotechnical Engineer/Engineering Geologist needed.  Requires chartered status, MSc, proven project management & design experience (Geostudio, etc.), strong communication & client liaison skills.  UK driving license.  Overseas travel."
216,"Engineering Geologist needed for ground investigations, geotechnical design (slopes, foundations, retaining structures), report writing, and project delivery.  Requires MSc in Engineering Geology, strong analytical and communication skills, and experience with relevant software and standards.  UK driving license essential."
217,"Senior Geotechnical Engineer/Engineering Geologist needed in Hampshire, UK.  Requires strong problem-solving, communication, and UK ground investigation experience.  Network Rail/Highways England knowledge preferred.  Travel required.  Clean driving license."
218,"Engineering Geologist needed with 2+ years' experience in ground investigation (cable percussion, rotary, window sampling), soil/rock logging (BS5930/Eurocode 7), and report writing.  Requires geology degree, strong communication, and UK driving license.  Travel required."
219,"Geologist/Engineer Geologist needed for international civil/infrastructure projects.  Requires building geological models using ArcGIS, Leapfrog, etc., processing geotechnical data, and preparing drawings.  Bachelor's/Master's degree in Civil Engineering and English fluency required."
220,"Principal Hydrogeologist needed. Requires a relevant first degree, MSc in hydrogeology, and proven post-qualification experience in the industry.  Professional body membership preferred. UK driving license desirable."
221,"Hydrogeologist needed with 7+ years' experience in environmental consultancy.  MSc in Hydrogeology required.  Duties include project management, field investigations, data analysis, report writing, and client liaison.  Strong technical and communication skills essential."
222,"Junior Geologist needed.  Requires geology/environmental science degree, hydrogeological modeling experience, Excel proficiency, environmental knowledge, Italian fluency, and English proficiency.  Field and reporting duties involved."
223,"Hydrogeologist needed for groundwater modeling, data analysis, and report writing.  Requires experience with MODFLOW/FEFLOW, ArcGIS/QGIS, and data processing.  Degree in relevant field and postgraduate qualification in hydrogeology preferred. Strong analytical and presentation skills essential."
224,"Lead geologist responsible for on-location data collection (depth, gas composition, etc.), analysis, and reporting.  Requires a geology degree, 2+ years' experience, and strong communication skills.  Field position."
225,"Lead surface logging geologist needed.  Collects and interprets drilling data (depth, gas, rate of penetration etc.), creates mud logs, and communicates findings to clients. Requires geology degree, 2+ years' experience, and strong communication skills. Field position."
226,"Hydrogeologist needed for groundwater modeling and data analysis.  Requires strong analytical & numerical skills, experience with MODFLOW/FEFLOW, and GIS software (ArcGIS/QGIS).  Degree in relevant field and postgraduate qualification in hydrogeology preferred.  Presentation & teamwork skills essential."
227,"Geologist/XRD Analyst needed.  Requires geological experience, strong data visualization skills, excellent attention to detail, and self-motivated learning."
228,"Hydrogeology intern needed.  Responsibilities include data analysis (hydrogeochemical, geothermometric, aquifer), modeling (thermo-hydrologic, reactive transport), and project management.  Requires strong analytical, problem-solving, and communication skills. Geothermal experience preferred."
229,"Hydrogeologist intern needed for data analysis, aquifer analysis, thermo-hydrologic modeling, and deep aquifer analysis.  Requires strong problem-solving, communication, and project management skills. Geothermal experience preferred."
230,Hydrogeologist needed.  Apply by 10.11.2021. Contact Julian Taylor.  Reference 6260/22959.
231,"Hydrogeologist needed for site investigations, report writing, and client liaison.  Requires MSc/PhD in hydrogeology, strong analytical and communication skills, and experience with groundwater modeling and pumping tests.  Field work and team collaboration involved."
232,"Nestlé Waters seeks a Hydrogeologist/Water Resources Expert with a Master's degree, 3+ years' experience in field hydrogeology and water resources management (industry/public sector experience required), fluent in Italian and English.  Responsibilities include sustainable water management, regulatory compliance, and community relations.  AWS cloud experience a plus."
233,"Principal Hydrogeologist needed. Requires first degree in relevant geoscience field focusing on hydrogeology, MSc in hydrogeology, proven post-qualification experience, and professional body membership. UK driving license desirable."
234,"Hydrogeologist needed with 7+ years' experience in environmental consultancy.  MSc in Hydrogeology required.  Responsibilities include project management, field investigations, data analysis, report writing, client liaison, and risk assessment.  Clean driving license essential."
235,"Hydrogeologist needed for groundwater modeling and data analysis.  Requires strong analytical skills, experience with MODFLOW/FEFLOW, and data visualization software (ArcGIS/QGIS).  Degree in relevant field and postgraduate qualification in hydrogeology preferred.  Excellent communication skills essential."
236,"Hydrogeologist needed for groundwater modeling, data analysis, and visualization.  Requires strong analytical skills, experience with MODFLOW/FEFLOW, and ArcGIS/QGIS.  Degree in relevant field and postgraduate qualification in Hydrogeology preferred.  Excellent communication skills essential."
237,"Hydrogeologist Intern needed for analyzing hydrogeochemical data, performing aquifer analyses, and creating thermo-hydrologic models.  Requires strong problem-solving, data analysis, and communication skills. Geothermal experience preferred."
238,"Hydrogeologist intern needed for data analysis (hydrogeochemical, geothermometric, aquifer), modeling (thermo-hydrologic, reactive transport), and project management.  Requires strong problem-solving, communication, and adaptability skills. Geothermal experience preferred."
239,Hydrogeologist position available.  Apply by 10.11.2021. Contact Julian Taylor (Quote ref: 6260/22959).
240,"Hydrogeologist needed for site investigations, risk assessments, and report writing.  Requires a Master's/PhD in hydrogeology, strong communication skills, and experience with pumping tests and modeling software (e.g., MODFLOW).  Field and office work involved."
241,"Nestlé Waters seeks a Hydrogeologist/Water Resources Expert with a Master's degree and 3+ years' experience in field hydrogeology and water management.  Fluency in Italian and English is required.  Responsibilities include sustainable water resource management, regulatory compliance, and community relations."
242,"Senior Hydrogeologist needed for water resources, environmental, and engineering projects.  Responsibilities include project delivery, technical guidance, client management, business development, and proposal writing.  Expertise in hydrogeology required."
243,"Assist Environmental Consultant/Hydrogeologist needed.  Conduct Phase 1/2 site investigations, data analysis, risk assessments, and reporting.  Requires relevant degree, UK travel, and driving license.  Flexible work options offered."
244,"Lead hydrogeologist needed with UK expertise and strong client relationships.  Requires postgraduate qualification, project management skills, excellent communication and technical abilities.  Proven track record of winning and delivering projects essential."
245,"Hydrogeologist needed with post-graduate qualification, several years' experience, and excellent report-writing and numerical skills.  UK hydrogeology knowledge essential. GIS, modelling skills advantageous.  Travel required."
246,"Senior Hydrogeologist needed with UK experience.  Requires post-graduate qualification, strong report-writing/numerical skills, project leadership experience, and proficiency in groundwater modeling.  GIS, programming skills a plus. UK driving license and legal right to work in the UK required."
247,"Geoenvironmental Consultant needed.  Requires relevant degree (geology, engineering, etc.), fieldwork experience (soil logging, sampling), report writing, data analysis skills, and UK land contamination knowledge. Chartership support offered.  Full UK driving license essential."
248,"Senior Hydrogeologist needed with MSc/PhD in geology/hydrogeology.  Responsibilities include planning and managing hydrogeological investigations, numerical modeling, stakeholder communication, and supply chain management.  Experience in low-permeability settings preferred."
249,"Contaminant Hydrogeologist needed.  Requires degree (higher degree preferred) in geology/environmental science.  Experience in field logging, report writing, risk assessment, and UK land contamination regulations.  Travel required.  Chartership desirable."
250,"Contaminant Hydrogeologist needed.  Requires degree (higher degree preferred) in geology/environmental science, field experience (soil logging, environmental sampling), report writing, data analysis (GIS desirable), and UK land contamination knowledge.  Chartership preferred.  Travel required."
251,"Geoenvironmental consultant needed.  Requires relevant degree (geology, engineering, etc.), chartership pursuit, field investigation experience, report writing skills, and UK land contamination knowledge.  CDM regulations understanding essential.  Full UK driving license required."
252,"Junior Geologist needed.  Requires geology/environmental science degree, hydrogeological modeling experience,  Microsoft Excel skills, environmental knowledge, Italian fluency, and English proficiency.  Field and data analysis duties."
253,Hydrogeologist needed with Master's or PhD.  Experience with coding/finite element software beneficial.  Strong analytical and 3D visualization skills required. Proactive team player.
254,"Senior Hydrogeologist needed with 5-10 years' experience in field and theoretical hydrogeology.  Experience in project management, conceptual modeling (mining preferred), and report writing required.  Strong communication & teamwork skills essential."
255,"Lead biostatistical activities in clinical trials, including protocol development, analysis, and reporting.  Requires strong SAS/R programming, machine learning knowledge, and experience in pharmaceutical research.  Mentorship responsibilities included.  PhD or Masters in Statistics required."
256,"Principal Biostatistician needed for clinical study design, analysis, and reporting.  Requires PhD/Master's in statistics, pharmaceutical industry experience, expertise in statistical methodologies (Bayesian approaches), SAS/R programming, and excellent communication skills.  Oversees outsourced work and ensures adherence to global standards."
257,"Senior/Principal Biostatistician needed for pharmaceutical development.  Requires PhD/Masters, strong SAS/R programming skills, experience in Bayesian approaches, safety data analysis, and regulatory submissions.  Leads teams, influences decisions, and ensures quality standards."
258,"Senior/Principal Biostatistician needed for pharmaceutical company.  Requires PhD/Masters, strong SAS/R programming skills, experience in clinical research, regulatory submissions, and leading teams.  Responsibilities include safety data analysis, signal detection, and cross-functional collaboration."
259,"Freelance Biostatistician needed (3+ years CRO & Biostatistics experience, SAS, CDISC).  Lead projects, mentor junior staff, high hourly rates. Contract extension/permanent position possible."
260,"Senior Biostatistician needed.  Requires experience in clinical trial statistics (SAS/R preferred), Master's/Ph.D. in relevant field.  Responsibilities include statistical analysis, quality control, and collaboration within a team."
261,"Senior Biostatistician needed for clinical trials.  Responsibilities include statistical analysis planning, programming (SAS), data review, and project management. Requires a graduate degree and clinical trial experience.  Excellent communication skills essential."
262,"Senior Biostatistician needed with BSc/MSc in Biostatistics and SAS/CDISC SDTM/ADaM expertise.  Lead statistical teams, develop protocols, perform analysis, and mentor junior staff.  Manage budgets and client communication."
263,"Principal Biostatistician needed for clinical trials.  Requires PhD/MS in Statistics with relevant experience (2+/4+ years).  Responsibilities include study design, analysis, reporting, regulatory submissions, and vendor oversight. Excellent communication and collaboration skills essential."
264,"Lead biostatistician needed with 8+ years' experience (MS) or 5+ (PhD) in statistics.  Expertise in SAS/R/Splus and clinical trial design/analysis required.  Lead statistical teams, deliver presentations, and collaborate with multidisciplinary teams."
265,"Senior biostatistician needed for oncology clinical trials.  Responsibilities include study design, sample size calculations, SAP development, data analysis using SAS/R.  CRO experience and mentoring skills required.  Competitive salary, bonus, remote work option."
266,"Senior Biostatistician needed for clinical trials.  Requires graduate degree, extensive experience leading multiple projects, proficiency in programming (SAS), and strong communication skills.  Responsibilities include statistical analysis, SAP creation, regulatory submissions, and mentoring."
267,"Principal Biostatistician needed.  Requires MSc (4+ years exp) or PhD in Statistics with clinical trial expertise.  Proficiency in SAS/R and drug development guidelines essential.  Experience in pharmacokinetics, Bayesian statistics preferred."
268,"Lead statistical analysis and experimental design for clinical, pre-clinical, and analytical chemistry studies.  Develop and maintain data standards using SAS programming.  Collaborate cross-functionally.  Requires strong statistical skills and CDISC knowledge. Bachelor's degree in relevant field."
269,"Senior Biostatistician needed with 3+ years' experience and MSc/PhD in Statistics/Biostatistics.  Responsibilities include clinical trial data analysis (SAS), statistical modeling, study design, and client communication.  Excellent communication and problem-solving skills required."
270,"Senior Biostatistician needed with Master's degree, 5-8 years' experience in clinical trial statistical analysis.  Requires excellent communication, SAS/R proficiency, and familiarity with Phase I-IV trial methodologies."
271,"Senior Biostatistician needed with 5+ years' experience in clinical trial statistical analysis (oncology, early phase, eSUB/submission, longitudinal data).  PhD preferred.  SAS/CDISC knowledge required.  Leads statistical strategy, analysis, and regulatory submissions."
272,"Senior Biostatistician needed with 5+ years' experience in clinical trials.  Responsibilities include study design, statistical analysis (including machine learning), data processing, and communication of findings to clinical teams.  MSc or PhD required."
273,"Senior Biostatistician needed (2-3 years' experience).  SAS programming, CDISC/ADaM knowledge essential.  Develop protocols, analyze clinical trial data, write reports.  Excellent communication skills required.  PhD or Master's degree preferred."
274,"Senior Biostatistician needed with 3+ years' experience and MSc/PhD in Statistics/Biostatistics.  Responsibilities include statistical analysis (SAS), clinical trial documentation review, data handling, and team leadership.  Strong communication and problem-solving skills are essential."
275,"Principal Biostatistician needed (2-3 years' experience).  Develop protocols, analyze clinical trial data (SAS, CDISC/ADaM), write reports. Excellent communication skills required.  Bachelor's/Master's/PhD in Biostatistics."
276,"Home-based Principal Biostatistician needed (Europe).  PhD/MSc in Biostatistics required; 5+ years' pharmaceutical/CRO experience.  Lead statistical analysis plans, study protocols, and client communication.  SAS/R proficiency essential."
277,"Biostatistician II needed with 2+ years' experience in clinical trials/observational studies.  Requires SAS/R programming skills and a Master's/Ph.D. in a relevant field.  Responsibilities include data analysis, quality control, client interaction, and ongoing training opportunities."
278,"Principal Biostatistician needed for pre-clinical projects.  Requires 5+ years' experience, SAS proficiency, advanced statistical knowledge, and regulatory experience.  PhD preferred.  Mentoring and client interaction involved."
279,"Placement student needed for a year-long position.  Requires statistics expertise (clinical trials/observational studies), SAS/R programming skills preferred.  Biostatistics/statistics/mathematics background essential.  Quality-focused, self-reliant team player needed."
280,"Senior Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires SAS/R programming, strong analytical & communication skills, and a Master's/PhD in a relevant field.  Mentoring experience preferred.  Travel may be required."
281,"Senior Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires SAS/R programming, strong analytical & communication skills, and leadership abilities.  Masters/PhD in biostatistics or related field.  Travel may be required."
282,"Senior Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires strong SAS/R programming, statistical analysis skills, and excellent communication.  Masters/PhD in biostatistics or related field.  Mentoring experience preferred."
283,"Principal Biostatistician needed with 4+ years' clinical development experience.  Responsibilities include study design, analysis, SAS programming, CDISC standards, regulatory compliance, and team leadership.  MSc/PhD in statistics required."
284,"Principal Biostatistician needed with 8-10 years' clinical trial experience (CRO preferred), Master's degree (PhD desired).  Responsibilities include study design, sample size calculations, statistical analysis, report writing (ISS/ISE), and leading study activities.  Strong SAS and communication skills required."
285,"Senior Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires strong SAS/R programming, excellent communication, and leadership skills.  Masters/PhD in biostatistics or related field.  Responsibilities include complex data analysis, report writing, client interaction, and team mentoring."
286,"Senior Biostatistician needed for gene therapy early drug development (Phase 1-2a).  Lead statistical activities, design trials,  develop SAPs, and interact with regulatory bodies.  Requires 5+ years' experience,  SAS proficiency, and advanced statistical knowledge.  PhD preferred."
287,"Senior Biostatistician needed for pharmaceutical drug development.  Requires PhD/Master's in Statistics, 3-5 years' experience, SAS programming, clinical trial design knowledge, CDISC expertise, and excellent communication skills.  Responsibilities include statistical analysis, reporting, and regulatory compliance."
288,"Senior Biostatistician needed for clinical trials focusing on neurological disorders.  Requires a Master's (PhD preferred), 3+ years' experience in pharmaceutical/CRO settings,  strong SAS programming, and excellent communication skills.  Experience with CDISC, ADaM, and ICH guidelines is essential."
289,"Senior Biostatistician needed for clinical trials (Neurological disorders focus).  Requires MS/PhD, 3+ years' experience in pharma/CRO, strong SAS & ICH knowledge, and excellent communication skills.  Experience with sample size calculations, SAPs, and clinical study reports essential."
290,"Lead statistician for clinical trials.  Requires PhD/MSc in Biostatistics, pharmaceutical industry experience,  knowledge of FDA/ICH regulations, SAS/R programming, and excellent communication skills.  Responsibilities include trial design, analysis, and regulatory filings."
291,"Principal Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires strong SAS/R programming, statistical analysis skills, and leadership abilities.  PhD or Masters in relevant field preferred.  Travel may be required."
292,"Senior Biostatistician needed for clinical trials (neurological disorders focus).  Requires PhD preferred, 3+ years' experience, SAS/R programming, CDISC knowledge, and strong communication skills.  CRO experience a plus."
293,"Senior Biostatistician needed for remote neuroscience clinical trials (neurological disorders).  Requires Master's degree (PhD preferred), 3+ years' experience in pharmaceutical/biotech, strong SAS programming, and CDISC/ADaM knowledge.  Responsibilities include study design, analysis, reporting, and client communication."
294,Senior Biostatistician needed with Master's degree in Statistics/Biostatistics and 5-8 years' experience in clinical trial statistical analysis.  Proficiency in SAS and R required. Excellent communication skills essential.
295,"Senior Biostatistician needed with 5+ years' experience in clinical trials/observational studies.  Requires SAS/R programming, strong analytical & communication skills, and leadership abilities.  Masters/PhD in biostatistics or related field."
296,"Senior Biostatistician needed for pharmaceutical drug development.  Requires PhD/Master's in Statistics, 3-5 years' experience, SAS programming, clinical trial design knowledge, CDISC expertise, and excellent communication skills.  Responsibilities include statistical analysis, reporting, and regulatory compliance."
297,"Data analysis and mathematical modeling for Randox systems.  Requires strong math, statistical optimization, and data mining skills (Matlab, Excel/VB).  Experience in R&D and technical writing preferred.  Biotechnology knowledge a plus."
298,"Mathematician needed for game development.  Requires strong probability/statistics skills, Java programming (JavaScript a plus), and experience with slot mechanics.  Responsibilities include game math modeling, prototyping, and collaboration with developers."
299,"Game Mathematician needed.  Develop and implement game mechanics using probability/statistics, Java (JavaScript a plus).  Experience with slots preferred.  Strong problem-solving and attention to detail crucial."
300,Seeking a Mathematician or Computer Scientist researcher.  Requires motivation letter and CV with publication list.
301,"Randox seeks a Mathematician with strong data analysis, statistical optimization, and data mining skills (Matlab, Excel/VB).  Responsibilities include developing analytical techniques, troubleshooting, technical writing, and R&D.  A relevant degree or experience is required."
302,"Senior Mathematician needed with 3+ years' experience in slot game math modeling.  Expertise in probability, combinatorics, and statistics required.  Java programming skills a plus.  Responsibilities include game mechanic design, analysis, and mentoring."
303,"Data & Analytics consultant needed.  Mathematics/natural science background required.  Develop data-driven solutions, advise clients on strategy & process optimization, integrate AI, and analyze industry trends (Industry 4.0, IoT).  Excellent communication & teamwork skills essential. Locations: Mannheim, Cologne, Munich, Hamburg."
304,"Develop and apply statistical and physical models for reliability, monitoring, diagnostics, and prognostics of ABB products.  Requires PhD in physics/mathematics, strong publication record, and experience with data-driven prognostics.  Collaboration with internal/external partners is key."
305,"Game Mathematician needed at Quickspin.  Requires a related university degree, 1+ years designing slot game mathematical models using Java, strong probability/statistics skills (combinatorics, Markov chains), and excellent problem-solving abilities.  Passion for gaming is a plus."
306,"Develop safe and reliable AI applications.  Focus on robust methods, data security, and innovative computation for safety-critical systems.  Requires expertise in computer science, mathematics, physics, or engineering."
307,"Develop and validate mathematical models for gambling games, ensuring compliance and optimal game design.  Collaborate with designers and other teams. Requires strong analytical and communication skills, programming experience, and a math/stats degree."
308,"Develop robust and reliable safety-critical AI applications.  Expertise in AI safety, security, data management, and innovative computation methods required.  Background in computer science, mathematics, physics, or engineering."
309,"Safety-critical AI researcher needed.  Requires expertise in development processes, robust AI safeguards, data security, AI execution environments, and innovative computation methods.  Background in computer science, mathematics, physics, or engineering essential."
310,"Develop robust and reliable safety-critical AI applications.  Expertise in AI safety, security, sensitive data management, and innovative computation methods required.  Background in computer science, mathematics, physics, or engineering."
311,"Seeking a computer scientist/mathematician/physicist/engineer with expertise in safety-critical AI.  Responsibilities include developing robust AI methods, ensuring data security, and managing AI application execution environments.  Innovative computation methods experience desired."
312,"Develop robust and reliable safety-critical AI applications.  Requires expertise in AI, safety, security,  sensitive data handling, and innovative computation methods.  Computer science, mathematics, physics, or engineering background needed."
313,"Develops robust and reliable safety-critical AI applications.  Focuses on AI safety, security, and sensitive data management.  Requires expertise in computer science, mathematics, physics, or engineering.  Develops innovative computation methods for AI execution environments."
314,"Mathematician needed for semiconductor software development company in Dresden.  Requires university degree in mathematics, C# programming skills (advantageous), and strong English.  Responsibilities include algorithm specification/implementation, requirements analysis, and collaboration with developers.  Offers flexible work hours, benefits, and international environment."
315,"Develop and implement water demand models using advanced techniques, integrating them into an Urban Digital Twin.  Conduct research, data analysis (FAIR principles), and publish findings. Requires strong engineering, mathematical, or computational skills."
316,"Mathematician needed for project management involving financial modeling, cost-benefit analysis, and database management.  Requires advanced degree in relevant field, extensive experience in economic analysis, and Excel/financial modeling skills.  Excellent benefits offered."
317,"Senior Biostatistician needed for clinical trials.  Responsibilities include protocol development, statistical analysis, reporting, and mentoring.  Requires PhD/Masters in Statistics, strong programming (SAS/R/Python), and clinical research experience.  Lead innovation in statistical methodology and trial design."
318,"Principal Biostatistician needed for clinical study design, analysis, and reporting.  Requires PhD/Master's in statistics, pharmaceutical industry experience, expertise in statistical methodologies (Bayesian preferred), SAS/R programming, and excellent communication skills.  Oversees outsourced work and ensures adherence to global standards."
319,"Lead statistician for late-phase clinical pharmacology studies at UCB.  Responsibilities include trial design, analysis, reporting, and collaboration with cross-functional teams.  Requires a Master's (PhD preferred) in Biostatistics/Statistics and experience in a project lead role within pharma."
320,"Senior/Principal Biostatistician needed for pharmaceutical company.  Requires PhD/Masters, strong statistical experience (Bayesian methods, SAS/R), and excellent communication skills.  Leads safety data analysis, reporting, and regulatory submissions.  Cross-functional team leadership experience essential."
321,"Lead statistician needed for complex clinical trials.  Responsibilities include statistical analysis, project management, team leadership, and budget oversight. Requires strong statistical skills (MSc preferred) and experience with TLFs."
322,"Senior Biostatistician needed for clinical trials.  Responsibilities include SAP creation, data analysis, programming (SAS), regulatory compliance (ICH), and team leadership.  Requires graduate degree in biostatistics and relevant experience."
323,Principal Statistician needed for a pharmaceutical client in Germany.  Remote work options available.
324,Trial Statistician needed.  Responsibilities and qualifications not specified.
325,"Lead biostatistics for clinical trials.  Develop statistical plans, SAS programs, and analysis.  Review deliverables, consult on experimental design, and present findings.  Requires advanced SAS skills, CDISC knowledge, and regulatory expertise.  MSc in Statistics needed."
326,"Senior Statistician needed for clinical trials.  Responsibilities include statistical analysis planning, programming, data review, and regulatory support.  Requires a graduate degree in biostatistics and clinical trial experience.  Excellent communication skills essential."
327,"Senior Biostatistician needed for clinical trials.  Responsibilities include statistical analysis planning, SAS programming, data analysis, report generation, client communication, and regulatory compliance.  Requires advanced SAS skills and clinical trial experience. MSc in Statistics required."
328,Trial Statistician needed.  Responsibilities and qualifications not specified.
329,"Lead biostatistician needed for clinical trials.  Requires 8+ years (MS) or 5+ years (PhD) experience in statistics, SAS/R expertise, and knowledge of ICH/GCP guidelines.  Responsibilities include study design, analysis, reporting, and collaboration with cross-functional teams."
330,"Senior biostatistician needed for oncology clinical trials.  Experience with SAS, R, protocol development, sample size calculations, SAPs, and CRF review required.  CRO experience and mentoring skills a plus.  Competitive salary, bonus, and remote work offered."
331,I need the actual job description to summarize it.  The provided text only shows a title and navigation links.
332,"Senior Biostatistician needed for clinical trials.  Responsibilities include statistical analysis, SAP preparation, data review, programming, regulatory submissions, mentoring, and project management. Requires a graduate degree in biostatistics and extensive clinical trial experience.  Excellent communication skills essential."
333,Senior Medical Statistician needed.  Requires statistical expertise in a medical setting.  Details regarding specific responsibilities and qualifications are needed for a complete summary.
334,AstraZeneca seeks a Statistician with a Master's or Doctorate in Statistics/Biostatistics to lead statistical analysis and reporting for product and study teams.  Requires excellent communication skills and experience interacting with health authorities.
335,"Biostatistician needed for the Norwegian Institute of Public Health.  PhD required, experience in randomized and cluster randomized trials essential.  Responsibilities include study design, analysis, and international collaboration on infection control research.  Fluency in English needed."
336,Biostatistician needed for the Norwegian Institute of Public Health.  PhD required; experience in randomized trials (especially cluster randomized trials) and infection control research essential.  Strong collaboration and communication skills needed.  English fluency mandatory.
337,"Biostatistician needed for the Norwegian Institute of Public Health.  PhD required; experience in randomized trials (cluster RCTs preferred), infection control research, and international collaborations.  Strong analytical and communication skills essential."
338,"Senior Statistician needed for clinical trials.  Responsibilities include data analysis (SAS), statistical modeling (mixed effects, Bayesian),  study design, and documentation review.  MSc/PhD in Statistics/Biostatistics required."
339,"Principal Statistician needed for clinical study statistical analysis.  8+ years' life science experience required.  Proficient in SAS, strong communication and project management skills essential.  Expert in regulatory guidance and ADaM datasets."
340,"Senior Biostatistician needed with 3+ years' experience and MSc/PhD in Statistics/Biostatistics.  Responsibilities include clinical trial data analysis (SAS), statistical modeling, study design, and client communication.  Excellent communication and problem-solving skills required."
341,"Principal Statistician needed for drug discovery.  Requires PhD/Master's in Biostatistics, strong SAS/R skills, experience in experimental design, Bayesian statistics, and mixed models.  Responsibilities include designing experiments, analyzing data, training, and regulatory representation."
342,"Principal Statistician needed for Medical Device R&D.  Hybrid role (Oxfordshire/Maidenhead), offering competitive salary, benefits, and development opportunities."
343,"Principal Statistician needed for clinical study reports.  Requires Master's (PhD preferred) in statistics, strong SAS & R programming, ICH/CDISC knowledge, and experience in oncology/immunology/cardiovascular.  Responsibilities include study design, analysis, and regulatory submissions (ISS/ISE)."
344,"Senior Statistician needed for market research.  Requires strong statistical analysis skills (regression, modelling, data mining), programming (R, Python, SPSS), and client communication.  PhD preferred, 4+ years experience.  Fluent in Dutch and English."
345,"Senior Biostatistician needed with 3+ years' experience.  Responsibilities include clinical trial data analysis (SAS), statistical modeling, study design, and client communication.  MSc/PhD in Biostatistics required."
346,"Senior Biostatistician needed with expertise in Bayesian approaches, SAS/R programming, and excellent communication skills.  Proven ability to lead teams and deliver evidence-based decisions. BSc in relevant field required."
347,"Senior Principal Statistician needed for clinical trials.  Responsibilities include protocol development, statistical analysis, reporting, and mentoring junior statisticians.  Requires expertise in SAS/R, ICH guidelines, and strong communication skills."
348,"Home-based Principal Biostatistician needed for European pharmaceutical/biotech company.  PhD/MSc in Biostatistics required, 5+ years' experience leading statistical analyses (Phases I-III) using SAS/R.  Client communication and study design expertise essential."
